n_components,Threshold,Precision,Recall,F1_score,Train_accuracy
5,310,0.3,0.016913319238900635,0.03202134756504336,0.9580811138014528
5,320,0.2857142857142857,0.014094432699083862,0.02686366689053056,0.9651937046004843
5,330,0.3018867924528302,0.01127554615926709,0.02173913043478261,0.9704903147699758
5,340,0.3170731707317073,0.009161381254404511,0.01780821917808219,0.9750302663438256
5,350,0.3333333333333333,0.007751937984496124,0.01515151515151515,0.9786622276029056
5,360,0.37037037037037035,0.007047216349541931,0.013831258644536654,0.9816888619854721
5,370,0.4,0.007047216349541931,0.013850415512465374,0.9833535108958837
5,380,0.42857142857142855,0.006342494714587738,0.012499999999999999,0.986228813559322
5,390,0.4444444444444444,0.005637773079633545,0.011134307585247043,0.9881961259079903
5,400,0.5333333333333333,0.005637773079633545,0.011157601115760113,0.988952784503632
5,410,0.5,0.004933051444679351,0.009769713886950453,0.9903147699757869
5,420,0.45454545454545453,0.0035236081747709656,0.006993006993006993,0.9913740920096852
5,430,0.375,0.0021141649048625794,0.004204625087596356,0.9918280871670703
5,440,0.375,0.0021141649048625794,0.004204625087596356,0.9921307506053268
5,450,0.2857142857142857,0.0014094432699083862,0.002805049088359046,0.9925847457627118
5,460,0.16666666666666666,0.0007047216349541931,0.0014035087719298247,0.9925847457627118
5,470,0.16666666666666666,0.0007047216349541931,0.0014035087719298247,0.9930387409200968
5,480,0.16666666666666666,0.0007047216349541931,0.0014035087719298247,0.9931900726392252
5,490,0.2,0.0007047216349541931,0.0014044943820224719,0.9933414043583535
6,50,0.5015906680805938,1.0,0.6680790960451978,0.002723970944309927
6,60,0.5023025150549061,0.9992952783650458,0.6685525695426685,0.0043886198547215495
6,70,0.503735325506937,0.9978858350951374,0.6695035460992907,0.01074455205811138
6,80,0.5062927004674578,0.9922480620155039,0.6704761904761904,0.020127118644067795
6,90,0.5152854511970534,0.9859055673009162,0.6768263183357522,0.05311743341404358
6,100,0.5229287090558767,0.95630725863284,0.6761335326357748,0.11259079903147699
6,110,0.5266830870279147,0.9041578576462297,0.6656290531776913,0.17342615012106538
6,120,0.5297565374211001,0.8280479210711769,0.6461369260379434,0.24530871670702178
6,130,0.5197334700153767,0.7145877378435518,0.6017804154302671,0.32324455205811137
6,140,0.4988262910798122,0.5990133897110641,0.5443483829650976,0.3930084745762712
6,150,0.48460508701472554,0.5102184637068358,0.49708204600068656,0.4600484261501211
6,160,0.46502384737678853,0.41226215644820297,0.43705640642510274,0.5287530266343826
6,170,0.4541241890639481,0.3453136011275546,0.39231385108086475,0.5861077481840193
6,180,0.44091903719912473,0.28400281888653983,0.3454779254179169,0.6381658595641646
6,190,0.44372574385511,0.24171952078928824,0.31295620437956206,0.6875
6,200,0.4292604501607717,0.18816067653276955,0.26163645271925523,0.7377421307506054
6,210,0.39575289575289574,0.14446793516560957,0.2116675271037687,0.7707324455205811
6,220,0.3691588785046729,0.1113460183227625,0.17108825121819166,0.8038740920096852
6,230,0.37057220708446864,0.09584214235377025,0.15229563269876817,0.8333837772397095
6,240,0.3614864864864865,0.07540521494009866,0.12478134110787173,0.8532082324455206
6,250,0.3359073359073359,0.0613107822410148,0.1036948748510131,0.8751513317191283
6,260,0.3285024154589372,0.04792107117688513,0.08364083640836406,0.8954297820823245
6,270,0.3216374269005848,0.03875968992248062,0.06918238993710692,0.9138922518159807
6,280,0.30597014925373134,0.028893587033121917,0.05280103026400516,0.9261501210653753
6,290,0.28846153846153844,0.021141649048625793,0.03939592908732764,0.9420399515738499
6,300,0.3,0.019027484143763214,0.03578528827037773,0.9536924939467313
6,310,0.2876712328767123,0.014799154334038054,0.028150134048257374,0.962318401937046
6,320,0.28125,0.012684989429175475,0.024275118004045856,0.9677663438256658
6,330,0.2916666666666667,0.009866102889358703,0.0190865712338105,0.9733656174334141
6,340,0.2894736842105263,0.007751937984496124,0.015099519560741247,0.9768462469733656
6,350,0.32142857142857145,0.006342494714587738,0.01243953006219765,0.9804782082324455
6,360,0.30434782608695654,0.004933051444679351,0.009708737864077669,0.9836561743341404
6,370,0.3333333333333333,0.004933051444679351,0.00972222222222222,0.9850181598062954
6,380,0.4117647058823529,0.004933051444679351,0.009749303621169917,0.987590799031477
6,390,0.38461538461538464,0.0035236081747709656,0.006983240223463688,0.9892554479418886
6,400,0.36363636363636365,0.0028188865398167725,0.005594405594405594,0.9901634382566586
6,410,0.3,0.0021141649048625794,0.004198740377886634,0.9909200968523002
6,420,0.3333333333333333,0.0021141649048625794,0.004201680672268907,0.9918280871670703
6,430,0.2857142857142857,0.0014094432699083862,0.002805049088359046,0.9921307506053268
6,440,0.2857142857142857,0.0014094432699083862,0.002805049088359046,0.9924334140435835
6,450,0.2857142857142857,0.0014094432699083862,0.002805049088359046,0.9925847457627118
6,460,0.16666666666666666,0.0007047216349541931,0.0014035087719298247,0.9936440677966102
6,470,0.16666666666666666,0.0007047216349541931,0.0014035087719298247,0.9940980629539952
6,480,0.16666666666666666,0.0007047216349541931,0.0014035087719298247,0.9944007263922519
6,490,0.2,0.0007047216349541931,0.0014044943820224719,0.9953087167070218
